,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
385,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[124, 225, 279, 607, 609, 800, 882, 1743, 1879, 16901]",10
386,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[589, 796, 13801]",3
387,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[711, 737, 798, 1618, 6137, 6216]",6
388,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[129, 177, 178, 198, 255, 308, 453, 492, 1324, 1415, 3157, 5796, 14701]",13
389,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[1161],1
390,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[885],1
391,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[784, 1469, 18804]",3
392,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[124, 225, 279, 607, 609, 800, 882, 1743, 1879, 16901]",10
393,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance",[562],1
394,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term",[412],1
395,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector",[428],1
396,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[333],1
397,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
398,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[211],1
399,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[2, 60]",2
400,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[368],1
401,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[129, 177, 178, 198, 255, 308, 453, 492, 1324, 1415, 3157, 5796, 14701]",13
402,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[39, 6356, 21803, 24501]",4
403,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[451, 563, 19501]",3
404,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[31, 1003, 1354, 11201]",4
405,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
406,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[1128, 6056]",2
407,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[514, 674, 1779, 3696, 17901]",5
408,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1006, 3698]",2
409,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[3336],1
410,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1591, 3516]",2
411,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1996],1
412,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1427],1
413,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector",[1430],1
414,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1392],1
415,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[19, 45, 154, 221, 223, 290, 447, 553, 862, 1393, 1613, 2837, 5336]",13
416,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[501, 1274]",2
417,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[1275],1
418,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[262, 926, 1237, 1262, 9001, 10801]",6
419,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[1195, 1210]",2
420,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[33, 493, 993]",3
421,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[842],1
422,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[871],1
423,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[673, 1119]",2
424,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[37, 620]",2
425,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[595, 1364]",2
426,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[589, 796, 13801]",3
427,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[587],1
428,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[583],1
429,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[570],1
430,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture",[571],1
431,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[531],1
432,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[489, 5013]",2
433,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[202, 246]",2
434,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[240, 1068]",2
435,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[238, 1106, 1355]",3
436,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[173],1
437,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[163, 1267]",2
438,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[162],1
439,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[57, 182, 1246]",3
440,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[179, 1196]",2
441,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[171],1
442,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[131],1
443,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[135],1
444,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[97, 119, 140, 141, 187, 846, 3197, 3759]",8
445,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[129, 177, 178, 198, 255, 308, 453, 492, 1324, 1415, 3157, 5796, 14701]",13
446,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[133, 1534, 1797]",3
447,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[79],1
448,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[80],1
449,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[104],1
450,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[99],1
451,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[43, 102, 137, 188, 212, 216, 231, 301, 484, 990, 1428, 4236, 10701]",13
452,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider","[63, 1178, 5216]",3
453,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[106, 1917]",2
454,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[13, 67, 112, 151, 334, 452, 458]",7
455,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[111, 185, 374, 1478]",4
456,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[108],1
457,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[49, 1183]",2
458,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[37, 620]",2
459,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",[38],1
460,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[33, 493, 993]",3
461,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[219, 918, 1732]",3
462,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[226, 477, 1125]",3
463,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[193, 930, 1012, 1225]",4
464,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[13, 67, 112, 151, 334, 452, 458]",7
465,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[264],1
466,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[10, 291, 584, 1212, 24006]",5
467,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
468,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[73, 153, 192, 203, 321, 344, 395]",7
469,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[19, 45, 154, 221, 223, 290, 447, 553, 862, 1393, 1613, 2837, 5336]",13
470,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
471,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature",[8],1
472,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[385],1
473,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[379, 390, 703]",3
474,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[28201],1
475,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[209, 268, 286, 294, 757, 1241, 5897]",7
476,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[760],1
477,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[325, 551, 1849]",3
478,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[602, 734, 762, 804, 810, 835, 891, 1057, 12101]",9
479,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[284, 2045, 5099]",3
480,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1519],1
481,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1356],1
482,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[380, 597, 726, 923, 2056, 2158]",6
483,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[769, 772]",2
484,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[569, 4417, 5456]",3
485,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[196, 236, 1253, 2576]",4
486,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[17, 199]",2
487,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[514, 674, 1779, 3696, 17901]",5
488,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[3297],1
