,Agency,Unit,Region,Location,Date,Local Time,Date Submitted,Tracking #,Mission Type,Procurement Type,Persons Onboard,Departure Point,Destination,Special Use,Damages,Injuries,Hazardous Materials,Other Procurement Type,Other Mission Type,Type,Manufacturer,Model,Narrative,Corrective Action,Hazard,Incident,Management,UAS,Accident,Airspace,Maintenance,Mishap Prevention,Extractive Summarized Narrative,Extractive Summarized Corrective Action,Abstractive Summarized Narrative,Abstractive Summarized Corrective Action,Text
96,State,CDF - California Department of Forestry,California,Rollins Reservoir,8/16/2019,11:00 AM,,19-0482,"Fire, Air Attack",,2.0,KGOO,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"AA-xxx was returning to GVAAB after an out of unit dispatch, when they encountered a UAS directly over Rollins Reservoir, 6 nm SE of the airport. The air attack aircraft and the white quadcopter were at the same altitude of 4700 msl. The UAS was spotted approximately 100 ft. off of the left wing. Rollins Lake sits at 2100 msl.","Timely notifications were made to the Grass Valley ECC, the airport manager at the Nevada Co. Air Park, the TNF helitack crew at White Cloud Helibase, and the TNF Forest Aviation Officer.",,,,Incursion,,UAS,,,"AA-xxx was returning to GVAAB after an out of unit dispatch, when they encountered a UAS directly over Rollins Reservoir, 6 nm SE of the airport. The air attack aircraft and the white quadcopter were at the same altitude of 4700 msl. The UAS was spotted approximately 100 ft.","Timely notifications were made to the Grass Valley ECC, the airport manager at the Nevada Co. Air Park, the TNF helitack crew at White Cloud Helibase, and the TNF Forest Aviation Officer.","<pad> a white quadcopter was spotted over Rollins Reservoir, 6 nm SE of the airport. the aircraft and the quadcopter were at the same altitude of 4700 msl.</s>","<pad> timely notifications were made to the Grass Valley ECC, the airport manager at the Nevada Co. Air Park, and the TNF helitack crew at White Cloud Helibase.</s>","AA-xxx was returning to GVAAB after an out of unit dispatch, when they encountered a UAS directly over Rollins Reservoir, 6 nm SE of the airport. The air attack aircraft and the white quadcopter were at the same altitude of 4700 msl. The UAS was spotted approximately 100 ft. off of the left wing. Rollins Lake sits at 2100 msl. Timely notifications were made to the Grass Valley ECC, the airport manager at the Nevada Co. Air Park, the TNF helitack crew at White Cloud Helibase, and the TNF Forest Aviation Officer."
97,Forest Service (USFS),Bridger-Teton NF,Region 04 Intermountain Region,Flat Creek Fire,8/14/2019,8:00 PM,,19-0489,"Fire, Infrared Imagery",Fleet,,Fire,Fire,No,Yes,No,No,,,Unmanned Aircraft System (UAS),3D Robotics,3DR,"UASP and UASP{T} were ordered to provide intelligence for a Resource Benefit Fire. UAS was chosen do to fire being in wilderness and it was the least amount of impact to the Wilderness. UASP flew 3 missions utilizing a UAS with a standard imagery camera with no incident. UASP{T} launched with IR camera and flew to the fire and captured imagery. The UASP and UASP{T} had set a return to home trigger point at 50 percent battery life. At 49 percent battery life the Pilot started his return flight. The Fire was about 2000 vertical feet above launch point so as the pilot flew back to the launch point he was descending. The Visual observer stated he lost visual with the aircraft and to stop descending. Pilot stopped descending and continued to fly at the current altitude towards the launch point. Shortly after that Visual Observer heard a audible ``smack`` and pilot lost connection to the aircraft. Both Pilot and Visual Observer determined Aircraft had hit something {assumed a tree}. Due to the time of day Pilot and Visual observer decided to hike off the hill and return the next day to locate the Aircraft. The next day Pilot hiked up to the last know location of the UAS as recorded on the Flight Controller app. Do to limited Cell phone service until he gained elevation and the late night before and early start that morning notifications were not made until approximately 0800 on 8/15 when pilot hiked high enough to gain cell service. Pilot notified Interagency Aviation Officer, USFS UAS Program Director and UAS Coordinator. The decision was made to report to the Mishap line as well due to it being a missing aircraft. Pilot located the Aircraft at approximately 1300 roughly at the last known coordinates and immediately notified via text everyone previously stated except the mishap line that aircraft had been located. Two of the Rotors were damaged but other than that the aircraft had no visual damage. Further tests and inspections will need to be done before the aircraft is returned to service.",The UASP and UASP{T} spoke extensively about the mission and the decisions that were made that led up to the accident. The correct action would have been to have gained elevation until line of site was reestablished before continuing flight back to Launch zone. The pilots decision to continue to fly at present altitude and not climb was influenced by the amount of battery life left on the aircraft and previous experience with 3DR batteries. The UAPS and UASP{T} felt that all the decisions that were made up to that point were sound risk management decisions including picking a launch site that was not the initial planned launch site to allow them to be closer to the fire but at a lower elevation and to delay the start of the mission until early evening when winds were minimal. Neither the UASP or UASP{T} felt that there was any pressure to complete the mission and that they maintained a high focus on risk management throughout all of the flights.,,Aircraft Damage,,Fleet Operation,,,,,UASP and UASP{T} were ordered to provide intelligence for a Resource Benefit Fire. UASP{T} launched with IR camera and flew to the fire and captured imagery. Shortly after that Visual Observer heard a audible ``smack`` and pilot lost connection to the aircraft.,The UASP and UASP{T} spoke extensively about the mission and the decisions that were made that led up to the accident.,<pad> UASP and UASP<unk> T<unk> were ordered to provide intelligence for a resource benefit fire. the fire was about 2000 vertical feet above launch point so as the pilot flew back to the launch point he was descending. Pilot stopped descending and continued to fly at the current altitude towards the launch point. Shortly after that Visual Observer heard a audible <unk> smack<unk> and pilot lost connection to the aircraft.</s>,<pad> the pilots decision to continue to fly at present altitude was influenced by the amount of battery life left on the aircraft and previous experience with 3DR batteries. the correct action would have been to gain elevation until line of site was reestablished before continuing flight back to Launch zone.</s>,"UASP and UASP{T} were ordered to provide intelligence for a Resource Benefit Fire. UAS was chosen do to fire being in wilderness and it was the least amount of impact to the Wilderness. UASP flew 3 missions utilizing a UAS with a standard imagery camera with no incident. UASP{T} launched with IR camera and flew to the fire and captured imagery. The UASP and UASP{T} had set a return to home trigger point at 50 percent battery life. At 49 percent battery life the Pilot started his return flight. The Fire was about 2000 vertical feet above launch point so as the pilot flew back to the launch point he was descending. The Visual observer stated he lost visual with the aircraft and to stop descending. Pilot stopped descending and continued to fly at the current altitude towards the launch point. Shortly after that Visual Observer heard a audible ``smack`` and pilot lost connection to the aircraft. Both Pilot and Visual Observer determined Aircraft had hit something {assumed a tree}. Due to the time of day Pilot and Visual observer decided to hike off the hill and return the next day to locate the Aircraft. The next day Pilot hiked up to the last know location of the UAS as recorded on the Flight Controller app. Do to limited Cell phone service until he gained elevation and the late night before and early start that morning notifications were not made until approximately 0800 on 8/15 when pilot hiked high enough to gain cell service. Pilot notified Interagency Aviation Officer, USFS UAS Program Director and UAS Coordinator. The decision was made to report to the Mishap line as well due to it being a missing aircraft. Pilot located the Aircraft at approximately 1300 roughly at the last known coordinates and immediately notified via text everyone previously stated except the mishap line that aircraft had been located. Two of the Rotors were damaged but other than that the aircraft had no visual damage. Further tests and inspections will need to be done before the aircraft is returned to service. The UASP and UASP{T} spoke extensively about the mission and the decisions that were made that led up to the accident. The correct action would have been to have gained elevation until line of site was reestablished before continuing flight back to Launch zone. The pilots decision to continue to fly at present altitude and not climb was influenced by the amount of battery life left on the aircraft and previous experience with 3DR batteries. The UAPS and UASP{T} felt that all the decisions that were made up to that point were sound risk management decisions including picking a launch site that was not the initial planned launch site to allow them to be closer to the fire but at a lower elevation and to delay the start of the mission until early evening when winds were minimal. Neither the UASP or UASP{T} felt that there was any pressure to complete the mission and that they maintained a high focus on risk management throughout all of the flights."
98,Forest Service (USFS),Prescott NF,Region 03 Southwest Region,Sheridan Fire AZ,8/26/2019,10:00 AM,,19-0519,"Fire, Reconnaissance",Fleet,,Yolo HS,Yolo HS,No,Yes,No,No,,,Unmanned Aircraft System (UAS),,DJI-M-600,"On take off for a recon with a type 3 unmanned aircraft system, the right rear motor failed and the aircraft went into a uncontrolled right yaw. The aircraft maintained flight and stability but the yaw was uncontrollable due to 1 of the 6 motors failing. The aircraft was at approximately 15 ft agl. Any inputs for control were unsuccessful. The aircraft was re positioned over the road. After failed attempts to control the left yaw, the decision was made to land the aircraft while in an uncontrollable yaw. The aircraft was landed successfully.","On site DOI UAS Inspectors were able to determine that on the power distribution board, the positive connection for the right rear motor was loose and showed signs of shorting.  {see pictures}  The screw was removed for inspection and it was determined the screw had come loose and caused the contact for the positive connection to arch and melt the surrounding plastic.  It also melted the Left rear motor positive connection.The screw threads showed signs of damage that appear to be from vibration.  The loose connection from the screw caused the positive connections to short and arch.The aircraft was taken out of service and will be sent back to the manufacturer for repair.",,,,,,,,,"On take off for a recon with a type 3 unmanned aircraft system, the right rear motor failed and the aircraft went into a uncontrolled right yaw. The aircraft maintained flight and stability but the yaw was uncontrollable due to 1 of the 6 motors failing. The aircraft was at approximately 15 ft agl.","On site DOI UAS Inspectors were able to determine that on the power distribution board, the positive connection for the right rear motor was loose and showed signs of shorting.",<pad> a type 3 unmanned aircraft system went into an uncontrolled yaw. the aircraft maintained flight and stability but the yaw was uncontrollable. the aircraft was re positioned over the road.</s>,<pad> on site DOI UAS inspectors were able to determine that the positive connection for the right rear motor was loose and showed signs of shorting. the screw was removed for inspection and it was determined the screw had come loose and caused the contact for the positive connection to arch and melt the surrounding plastic.</s>,"On take off for a recon with a type 3 unmanned aircraft system, the right rear motor failed and the aircraft went into a uncontrolled right yaw. The aircraft maintained flight and stability but the yaw was uncontrollable due to 1 of the 6 motors failing. The aircraft was at approximately 15 ft agl. Any inputs for control were unsuccessful. The aircraft was re positioned over the road. After failed attempts to control the left yaw, the decision was made to land the aircraft while in an uncontrollable yaw. The aircraft was landed successfully. On site DOI UAS Inspectors were able to determine that on the power distribution board, the positive connection for the right rear motor was loose and showed signs of shorting.  {see pictures}  The screw was removed for inspection and it was determined the screw had come loose and caused the contact for the positive connection to arch and melt the surrounding plastic.  It also melted the Left rear motor positive connection.The screw threads showed signs of damage that appear to be from vibration.  The loose connection from the screw caused the positive connections to short and arch.The aircraft was taken out of service and will be sent back to the manufacturer for repair."
99,State,,Alaska,McKinley Fire,9/8/2019,4:49 PM,,19-0575,"Fire, Other",Other/Unknown,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,During operational period multiple tfr intrusions occurred on all divisions. The divisions did a good job notifying helibase and the AOBD. No tail numbers could be identified. It should be noted that before today we had very few intrusions.,In an attempt to get a handle on the situation the AOBD had maps of tfr area mad and he distributed them at the Willow airstrip the suspected launch point.  Many of he pilots contacted thought the tfr was lifted at the same time as the Deshka Fire to the South.  The issue seemed to improve then rotor traffic started showing up. Mat Su dispatch was notified and a safe com was generated,,,,,,Intrusion,,,During operational period multiple tfr intrusions occurred on all divisions. The divisions did a good job notifying helibase and the AOBD. It should be noted that before today we had very few intrusions.,In an attempt to get a handle on the situation the AOBD had maps of tfr area mad and he distributed them at the Willow airstrip the suspected launch point.,<pad> during operational period multiple tfr intrusions occurred on all divisions. no tail numbers could be identified. before today we had very few intrusions. tfr intrusions occurred on all divisions.</s>,<pad> AOBD had maps of tfr area mad and he distributed them at the Willow airstrip the suspected launch point. many of he pilots contacted thought the tfr was lifted at the same time as the Deshka Fire to the South.</s>,During operational period multiple tfr intrusions occurred on all divisions. The divisions did a good job notifying helibase and the AOBD. No tail numbers could be identified. It should be noted that before today we had very few intrusions. In an attempt to get a handle on the situation the AOBD had maps of tfr area mad and he distributed them at the Willow airstrip the suspected launch point.  Many of he pilots contacted thought the tfr was lifted at the same time as the Deshka Fire to the South.  The issue seemed to improve then rotor traffic started showing up. Mat Su dispatch was notified and a safe com was generated
100,Forest Service (USFS),Plumas NF,Region 05 Pacific Southwest Region,Walker Incident,9/5/2019,7:00 PM,,19-0601,"Fire, Air Attack",Exclusive use contract,3.0,KGOO,KGOO,No,No,No,No,,,Airplane,Aero Commander,690B,"ATGS was supervising two rotors over the Walker Incident on day 2, when radio traffic over PNF Forest Net mentioned a drone flying on the north side of the Genesee Valley. Rotors were configured for bucket operations, and were dipping upstream of the Fournoy Bridge. The dipsite was approximately 1 mile from the drone location. The acting DFFMO for the PNF observed the drone while driving toward the drop point near the heel of the fire, and informed Walker Operations. I was notified on the assigned A/G, and immediately relayed the issue to rotors overhead. This occurred around 19:00, and there was a TFR in place over the fire. After discussing the intrusion with the rotor pilots, they felt comfortable offsetting further from the estimated location of the UAS, and finished out the end of their fuel cycle supporting ground contacts that were positioned 2-3 miles south and upslope of the valley. Law enforcement located and made contact with the recreational drone operator shortly thereafter, and confirmed that the UAS was on the ground. A Plumas Co. Sheriff and USFS special agent were collocated with Operations at DP-10, and responded code three to locate the drone operator.","Timely communication from the ground after sighting the drone allowed the ATGS to deconflict the FTA intrusion. Law enforcement educated the hobbyist regarding the hazards of flying drones in firefighting airspace, and described the legal repercussions of TFR intrusions. The operator promised there would be no repeat performances of said action.",,,,Incursion,,"Intrusion, Conflict, UAS",,,"ATGS was supervising two rotors over the Walker Incident on day 2, when radio traffic over PNF Forest Net mentioned a drone flying on the north side of the Genesee Valley. The acting DFFMO for the PNF observed the drone while driving toward the drop point near the heel of the fire, and informed Walker Operations. I was notified on the assigned A/G, and immediately relayed the issue to rotors overhead.",Timely communication from the ground after sighting the drone allowed the ATGS to deconflict the FTA intrusion.,<pad> rotors were dipping upstream of the Fournoy Bridge when a drone was detected. a plumas co. sheriff and a special agent were collocated with operations at DP-10. law enforcement located and made contact with the recreational drone operator.</s>,<pad> law enforcement educated the hobbyist about the hazards of flying drones in firefighting airspace. the operator promised there would be no repeat performances of said action. the operator promised there would be no repeat performances of said action.</s>,"ATGS was supervising two rotors over the Walker Incident on day 2, when radio traffic over PNF Forest Net mentioned a drone flying on the north side of the Genesee Valley. Rotors were configured for bucket operations, and were dipping upstream of the Fournoy Bridge. The dipsite was approximately 1 mile from the drone location. The acting DFFMO for the PNF observed the drone while driving toward the drop point near the heel of the fire, and informed Walker Operations. I was notified on the assigned A/G, and immediately relayed the issue to rotors overhead. This occurred around 19:00, and there was a TFR in place over the fire. After discussing the intrusion with the rotor pilots, they felt comfortable offsetting further from the estimated location of the UAS, and finished out the end of their fuel cycle supporting ground contacts that were positioned 2-3 miles south and upslope of the valley. Law enforcement located and made contact with the recreational drone operator shortly thereafter, and confirmed that the UAS was on the ground. A Plumas Co. Sheriff and USFS special agent were collocated with Operations at DP-10, and responded code three to locate the drone operator. Timely communication from the ground after sighting the drone allowed the ATGS to deconflict the FTA intrusion. Law enforcement educated the hobbyist regarding the hazards of flying drones in firefighting airspace, and described the legal repercussions of TFR intrusions. The operator promised there would be no repeat performances of said action."
101,Forest Service (USFS),Grand Mesa/Uncompahgre/Gunnison NF,Region 02 Rocky Mountain Region,38* 48.095 x 106* 57.377,9/25/2019,2:43 PM,,19-0628,"Fire, Reconnaissance",Fleet,,,,No,Yes,No,No,,,Unmanned Aircraft System (UAS),,Anafi,"While flying a fire, the UAS experienced an issue of unknown sorts and crashed to the ground. From the people watching the aircraft near the fire, they seem to think it was some sort of motor failure due to no more noise coming from the aircraft and it falling straight to the ground. There was a small gust but nothing more than prior gusts during the flight. Winds were 6-8 mph and fairly steady. The flight was done by the same UAS that had been in a crash that required two new rotors two days prior and this may or may not have had an effect on this flight.","The UAS is inoperable, however, a policy of a thorough inspection is necessary, which was completed after new propellers were installed. Also, knowing the drone had previously been involved in an accident, I had multiple people watching the flight just in case something happened.",,,,Fleet Operation,,,,,"While flying a fire, the UAS experienced an issue of unknown sorts and crashed to the ground. From the people watching the aircraft near the fire, they seem to think it was some sort of motor failure due to no more noise coming from the aircraft and it falling straight to the ground. There was a small gust but nothing more than prior gusts during the flight.","The UAS is inoperable, however, a policy of a thorough inspection is necessary, which was completed after new propellers were installed.",<pad> there was a small gust but nothing more than prior gusts during the flight. the flight was done by the same UAS that had been in a crash that required two new rotors.</s>,"<pad> the drone is inoperable, however, a policy of a thorough inspection is necessary. knowing the drone had previously been involved in an accident, multiple people watched the flight.</s>","While flying a fire, the UAS experienced an issue of unknown sorts and crashed to the ground. From the people watching the aircraft near the fire, they seem to think it was some sort of motor failure due to no more noise coming from the aircraft and it falling straight to the ground. There was a small gust but nothing more than prior gusts during the flight. Winds were 6-8 mph and fairly steady. The flight was done by the same UAS that had been in a crash that required two new rotors two days prior and this may or may not have had an effect on this flight. The UAS is inoperable, however, a policy of a thorough inspection is necessary, which was completed after new propellers were installed. Also, knowing the drone had previously been involved in an accident, I had multiple people watching the flight just in case something happened."
102,Forest Service (USFS),White River NF,Region 02 Rocky Mountain Region,Middle Mamm fire,10/8/2019,10:59 AM,,20-0013,"Fire, Air Attack",Exclusive use contract,3.0,Grand Junction,Middle Mamm Fire,No,No,No,No,,,Unmanned Aircraft System (UAS),Unknown,Unknown,"While conducting firefighting operations on the Fire,  The Hotshots reported a UAS incursion within the TFR.  The ATGS trainee immediately returned one type 1 and one type 2 helicopter to helibase until further notice.  The ATGS trainee notified Fire Operations and suggested Law Enforcement be notified. Law enforcement was able to detect the UAS in flight, but was unable to locate the pilot.  After approximately 20-30 minutes without seeing the UAS, all firefighting aircraft returned to working the fire and the UAS was not seen again.",Law enforcement unable to locate UAS pilot. Dispatch completed UAS FAA Notification Form immediately,,,,Incursion,,,,,"While conducting firefighting operations on the Fire,  The Hotshots reported a UAS incursion within the TFR. The ATGS trainee immediately returned one type 1 and one type 2 helicopter to helibase until further notice. Law enforcement was able to detect the UAS in flight, but was unable to locate the pilot.",Law enforcement unable to locate UAS pilot.,"<pad> the hotshots reported a UAS incursion within the TFR. the ATGS trainee immediately returned one type 1 and one type 2 helicopter to helibase. law enforcement was able to detect the UAS in flight, but was unable to locate the pilot.</s>",<pad> Dispatch completed UAS FAA Notification Form immediately. law enforcement unable to locate UAS pilot. Dispatch completed UAS FAA Notification Form immediately.</s>,"While conducting firefighting operations on the Fire,  The Hotshots reported a UAS incursion within the TFR.  The ATGS trainee immediately returned one type 1 and one type 2 helicopter to helibase until further notice.  The ATGS trainee notified Fire Operations and suggested Law Enforcement be notified. Law enforcement was able to detect the UAS in flight, but was unable to locate the pilot.  After approximately 20-30 minutes without seeing the UAS, all firefighting aircraft returned to working the fire and the UAS was not seen again. Law enforcement unable to locate UAS pilot. Dispatch completed UAS FAA Notification Form immediately"
103,Forest Service (USFS),Coronado NF,Region 03 Southwest Region,Molino Fire,10/29/2019,8:45 AM,,20-0032,"Fire, Reconnaissance",Fleet,,,,No,Yes,No,No,,,Unmanned Aircraft System (UAS),Parrot,Anafi,Calibrated UAS prior to flight. Took off and flew mission without issue. Noticed that the terrain was higher than the FreeFlight6 app would allow at max altitude and decided to land to change locations. I was flying back to the landing site and began descending when the UAS violently began to yaw left and right and was flipping in mid air. I continued to attempt to descend and gain some kind of control. I heard the sound of the drone change {sounded as if the prop came off in mid flight} and it fell straight down and crashed 30ft from the landing site. Upon recovery of UAS I noticed several broken props and that the camera gimbal was damaged as well. I also noticed that one of the screws that hold the props on was still attached but was missing the plastic hub that the prop would be attached too. IC and FAO were immediately notified.,"I attempted to get control of the UAS as much as possible, but was unable to regain and control. I was able to recover the UAS.",,,,Fleet Operation,,,,,Noticed that the terrain was higher than the FreeFlight6 app would allow at max altitude and decided to land to change locations. I was flying back to the landing site and began descending when the UAS violently began to yaw left and right and was flipping in mid air. Upon recovery of UAS I noticed several broken props and that the camera gimbal was damaged as well.,"I attempted to get control of the UAS as much as possible, but was unable to regain and control.",<pad> the drone violently began to yaw and was flipping in mid air. it fell straight down and crashed 30ft from the landing site. the camera gimbal was damaged and several broken props were found.</s>,"<pad> i attempted to get control of the UAS as much as possible, but was unable to regain and control. i was able to recover the UAS, however.</s>","Calibrated UAS prior to flight. Took off and flew mission without issue. Noticed that the terrain was higher than the FreeFlight6 app would allow at max altitude and decided to land to change locations. I was flying back to the landing site and began descending when the UAS violently began to yaw left and right and was flipping in mid air. I continued to attempt to descend and gain some kind of control. I heard the sound of the drone change {sounded as if the prop came off in mid flight} and it fell straight down and crashed 30ft from the landing site. Upon recovery of UAS I noticed several broken props and that the camera gimbal was damaged as well. I also noticed that one of the screws that hold the props on was still attached but was missing the plastic hub that the prop would be attached too. IC and FAO were immediately notified. I attempted to get control of the UAS as much as possible, but was unable to regain and control. I was able to recover the UAS."
104,State,VNC - Ventura County Fire Dept,California,Maria Fire,10/31/2019,10:30 PM,,20-0037,"Fire, Water Drop (Helicopter Fixed-Tank)",CWN (Call when needed),2.0,KCMA,Maria Fire,No,No,No,No,,,Helicopter,Bell,UH-1H2,"Drone Incursion: On October 31st, 2019, at 18:15, CPTR XXX was dispatched to the Maria Fire near Santa Paula, CA. At about 22:30, while conducting water drops near the heel of the fire, at a peak of South Mountain, CPTR XXX, spotted a drone flying in the area of the communication towers near the heel. Hand Crew working on the ground in that area also spotted the drone. This was promptly reported to Air Attack. Air Attack advised all helicopters working on the incident to be grounded at the Santa Paula Airport Helispot until it was deemed safe to fly. Helicopters were grounded for about an hour. Maria Operations requested Local Sheriff to respond units to investigate the drone, and drone operator. Local law was unable to locate. At about 23:40, it was deemed safe for helicopters to re-engage in water dropping operations. This was due to the fact that nobody had seen the drone for over 30 minutes. CPTR XXX was comfortable with re-engaging on the fire.",Air Attack ordered all helicopters to be grounded until the drone incursion was investigated and deemed to be safe for aircraft to operate in the area.Law enforcement was responded to investigate and take action as necessary.CPTR XXX made notification to the FAA via phone call.,,,,Incursion,,"Intrusion, UAS",,,"Drone Incursion: On October 31st, 2019, at 18:15, CPTR XXX was dispatched to the Maria Fire near Santa Paula, CA. Hand Crew working on the ground in that area also spotted the drone. Air Attack advised all helicopters working on the incident to be grounded at the Santa Paula Airport Helispot until it was deemed safe to fly.",Air Attack ordered all helicopters to be grounded until the drone incursion was investigated and deemed to be safe for aircraft to operate in the area.,"<pad> CPTR XXX was dispatched to the Maria Fire near Santa Paula, CA. at about 22:30, CPTR XXX spotted a drone flying in the area of the communication towers. hand crew working on the ground in that area also spotted the drone.</s>",<pad> CPTR XXX made notification to the FAA via phone call. all helicopters grounded until drone incursion is investigated and deemed to be safe for aircraft to operate in the area.</s>,"Drone Incursion: On October 31st, 2019, at 18:15, CPTR XXX was dispatched to the Maria Fire near Santa Paula, CA. At about 22:30, while conducting water drops near the heel of the fire, at a peak of South Mountain, CPTR XXX, spotted a drone flying in the area of the communication towers near the heel. Hand Crew working on the ground in that area also spotted the drone. This was promptly reported to Air Attack. Air Attack advised all helicopters working on the incident to be grounded at the Santa Paula Airport Helispot until it was deemed safe to fly. Helicopters were grounded for about an hour. Maria Operations requested Local Sheriff to respond units to investigate the drone, and drone operator. Local law was unable to locate. At about 23:40, it was deemed safe for helicopters to re-engage in water dropping operations. This was due to the fact that nobody had seen the drone for over 30 minutes. CPTR XXX was comfortable with re-engaging on the fire. Air Attack ordered all helicopters to be grounded until the drone incursion was investigated and deemed to be safe for aircraft to operate in the area.Law enforcement was responded to investigate and take action as necessary.CPTR XXX made notification to the FAA via phone call."
105,Forest Service (USFS),National Forests in North Carolina,Region 08 Southern Area Region,RX Comp 38,2/29/2020,2:30 PM,,20-0094,"Fire, Aerial Ignition (Prescribed)",Exclusive use contract,3.0,Helispot 2,Compartment 38,Yes,No,No,Yes,,,Helicopter,Bell,407HP,"After completing PSD operations in Compartments 34 and 35 operations proceeded into Compartment 38. At approximately the 4th pass in the area the PLDO noticed an individual whom appeared to be repeatedly looking at their tablet and then back in the air and notified the Pilot and RXB2 on board. The RXB2 noticed the vehicle and individual doing the same activity and took the precaution of a drone in the area by ceasing aerial ignition and notified Dispatch that they will be returning to Hsp 2. While enroute to the helispot, the RXB2 notified the FS LEO and the nearest ground ignitor {who was also a FPO} the description of the vehicle and to check the area for any drone activity.","Once on the ground at Hsp 2, the RXB2 notified the HMGB of the possible UAS activity.  The HMGB then notified Dispatch and informed them that aerial ignition operations have ceased until confirmation of area was clear of drone use.  Contact was also made to the detailed USFS R8 UAS Coordinator.The FPO/ground ignitor saw an individual who appeared to be taking pictures of the prescribed burn with their phone and advised the individual of the helicopter conducting aerial ignition in the area.  The individual acknowledged their awareness of the helicopter and admitted to flying a small UAS in the vicinity but landed when seeing the helicopter approach.  The FPO was shown the UAS in its case by the individual.  The FPO informed the individual that we are unable to safely fly if the public is operating drones, the individual departed the scene.  FS LEO verified the scene secure and cleared to resume PSD operations.",,,,Incursion,,,,,"After completing PSD operations in Compartments 34 and 35 operations proceeded into Compartment 38. At approximately the 4th pass in the area the PLDO noticed an individual whom appeared to be repeatedly looking at their tablet and then back in the air and notified the Pilot and RXB2 on board. While enroute to the helispot, the RXB2 notified the FS LEO and the nearest ground ignitor {who was also a FPO} the description of the vehicle and to check the area for any drone activity.","Once on the ground at Hsp 2, the RXB2 notified the HMGB of the possible UAS activity.",<pad> PSD operations completed in Compartments 34 and 35. at approximately the 4th pass in the area the PLDO noticed an individual who appeared to be repeatedly looking at their tablet and then back in the air. the RXB2 noticed the vehicle and individual doing the same activity and took the precaution of a drone in the area by ceasing aerial ignition.</s>,<pad> Dispatch notified the HMGB of possible drone activity. aerial ignition operations have ceased until confirmation of area clear of drone use. the individual admitted to flying a small UAS in the vicinity.</s>,"After completing PSD operations in Compartments 34 and 35 operations proceeded into Compartment 38. At approximately the 4th pass in the area the PLDO noticed an individual whom appeared to be repeatedly looking at their tablet and then back in the air and notified the Pilot and RXB2 on board. The RXB2 noticed the vehicle and individual doing the same activity and took the precaution of a drone in the area by ceasing aerial ignition and notified Dispatch that they will be returning to Hsp 2. While enroute to the helispot, the RXB2 notified the FS LEO and the nearest ground ignitor {who was also a FPO} the description of the vehicle and to check the area for any drone activity. Once on the ground at Hsp 2, the RXB2 notified the HMGB of the possible UAS activity.  The HMGB then notified Dispatch and informed them that aerial ignition operations have ceased until confirmation of area was clear of drone use.  Contact was also made to the detailed USFS R8 UAS Coordinator.The FPO/ground ignitor saw an individual who appeared to be taking pictures of the prescribed burn with their phone and advised the individual of the helicopter conducting aerial ignition in the area.  The individual acknowledged their awareness of the helicopter and admitted to flying a small UAS in the vicinity but landed when seeing the helicopter approach.  The FPO was shown the UAS in its case by the individual.  The FPO informed the individual that we are unable to safely fly if the public is operating drones, the individual departed the scene.  FS LEO verified the scene secure and cleared to resume PSD operations."
106,Forest Service (USFS),Tongass NF,Region 10 Alaska Region,Crow Point,5/9/2020,2:53 PM,,20-0151,"Fire, Water Drop (Helicopter Bucket)",Other/Unknown,1.0,Crow Point helispot,Crow Point Fire,Yes,No,No,No,BPA,Bucket Operations ,Helicopter,Aerospatiale,AS350 B3,Departing Crow Point fire’s helispot to conduct bucket operations on the fire. The helicopter manager spotted a quadcopter flying 200-300 yards off the nose of the helicopter at roughly 30-50 feet AGL. The helicopter manager radioed the helicopter to land due to a UAS in the area.  ,"Notification made to Dispatch, Law Enforcement support was requested. No contact was made, no witnesses were found. Air operations resumed and operations were completed without any further incident.",,,,Incursion,,"Near Mid-Air, Conflict",,,Departing Crow Point fire’s helispot to conduct bucket operations on the fire. The helicopter manager spotted a quadcopter flying 200-300 yards off the nose of the helicopter at roughly 30-50 feet AGL. The helicopter manager radioed the helicopter to land due to a UAS in the area.,"Notification made to Dispatch, Law Enforcement support was requested.",<pad> the helicopter manager spotted a quadcopter 200-300 yards off the nose of the helicopter at roughly 30-50 feet AGL. the helicopter manager radioed the helicopter to land due to a UAS in the area.</s>,"<pad> no contact was made, no witnesses were found. air operations resumed and operations were completed without any further incident. no contact made, no contact was made, no witnesses were found.</s>","Departing Crow Point fire’s helispot to conduct bucket operations on the fire. The helicopter manager spotted a quadcopter flying 200-300 yards off the nose of the helicopter at roughly 30-50 feet AGL. The helicopter manager radioed the helicopter to land due to a UAS in the area.   Notification made to Dispatch, Law Enforcement support was requested. No contact was made, no witnesses were found. Air operations resumed and operations were completed without any further incident."
