cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,NTSB
Hard landing,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Other; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"pilot, inadequate landing, flare, airplane seemed, was, not used to","hard, landing, ground, loop, left main gear, collapsed, to, it","airplane, impacted the, runway hard, and, bounced, forward, substantial, damage","configured the airplane in a level, checked the, advised the",", - 5, knots, continue the, landing, use power as,",4,3.1135029354207435,12.454011741682974,20120314X33326
Hazardous material leak/spill,Unknown,"dry ice, sub, pilot's decision to fly the airplane in","' s loss of, accumulation of toxic levels of carbon","consciousness, carbon, dioxide, sleepy, had, breathing, became, unconscious, controllers, airplane","closed the door, cabin air vents, closed, opened the airplane,",ice,1,2.0,2.0,20181124X14130
Icing encounter,Initial Climb; Enroute-Cruise; Uncontrolled Descent; Enroute; Landing-Flare/Touchdown; Enroute-Descent; Takeoff; Taxi-to Runway; Enroute-Climb to cruise; Approach; Landing-Landing Roll; Landing,"runway, severe in, ic, failure of the approach controller to","loss of visual reference to the, conditions, loss of control,","while, ' s windscreen anti - ice, systems, she would,","the, windscreen heating and alcohol anti - ice systems were","form, working, group, address, issues, obtained the weather, conditions, sought",3,3.5,10.5,20130207X33247
Inflight upset,Initial Climb; Approach-VFR Pattern Downwind; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Prior to Flight; Landing-Landing Roll; Landing,"fatigue failure, right, extend, cable, almost full left aileron control,","of the, unable to extend the right, retract, wing flap","gear, flaps, flap experienced an, simultaneously rolled about 80 degrees","extended, landing, deployed full, troubleshooting, steps, the assistance of a,",", avoid, completely, stay",3,3.4,10.2,20160722X63338
Landing area overshoot,Initial Climb; Approach-IFR Final Approach; Maneuvering-Low-alt flying; Uncontrolled Descent; Taxi-from Runway; After Landing; Landing-Flare/Touchdown; Enroute; Unknown; Prior to Flight; Takeoff; Takeoff-Rejected Takeoff; Approach-VFR Go-Around; Taxi-into Takeoff Position; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"to, land, with a, tailwind, delay in executing a go,","inadvertently landed with a, unable, airplane, collided with, go -","stop, shrubs, wings, to bring the airplane to a, for","br, speedbrake, rn, a, distance, assessment, sufficient runway, length, identified","<, >, , used the emergency brake, lever, have been",4,3.1666666666666665,12.666666666666666,20120315X52136
Landing area undershoot,Initial Climb; Approach-IFR Final Approach; Maneuvering-Low-alt flying; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-IFR Missed Approach; Takeoff; Taxi-to Runway; Enroute-Climb to cruise; Maneuvering-Hover; Prior to Flight; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"pilot, did not maintain an appropriate descent, profile, pilot did","descent profile, runway, separated, the, assembly in the, under, nose,","airplane ’ s descent rate, pilot, inadvertently, landed 200 feet","the mixture lever, the idle, levers, feather, conducting, higher approach","pilot should, land the, airplane, prior to, the, levers, ,",3,3.025,9.075,20131028X05039
Landing gear collapse,Standing-Engine(s) Operating; After Landing; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Go-Around; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Standing-Engine(s) Start-up; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Post-Impact; Approach; Approach-Circling (IFR); Maneuvering-Hover; Landing-Landing Roll,"pilot's, failure to maintain directional control of the, airplane, unable,","lost directional, control, airplane, the left side of the, runway,","departed, impacted an airport, sign, was, substantially, damaged, top skin","checked the fuel selector and magnet, applied carburetor, heat, realign,",", visual, verification, that the, gear is down and, locked,",4,2.962864721485411,11.851458885941645,20110927X62142
Landing gear not configured,Approach-VFR Pattern Downwind; Enroute; Enroute-Descent; Landing; Takeoff; Takeoff-Rejected Takeoff; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"pilot's, failure to raise the landing gear, wheels, prior, landing","nose, over, overflew, river, water, calm, airplane nosed over as,","portion of the, most of the, front winds, separated from","removed, electronic, performing, landing, extended the landing, gear, perform, go",", follow, conduct "" s "", turns, go around and,",4,2.994186046511628,11.976744186046512,20160105X14823
Loss of control in flight,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Approach-VFR Pattern Crosswind; Standing-Engine(s) Operating; After Landing; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Standing-Engine(s) Shutdown; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Unknown; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll; Approach-Circling (IFR),"pilot's, fatigue, pilot, departed, night, testing, limited, samples, were last,","pilot's loss of, entered a, descending left, failure, or, di,","und, airplane, spiraled, down, impacting an open, the, lake, damage,","intermediate, stops, radar track, toxicology, determination, all, were located at",", conform to its type, certificate, documentation, perform, procedures, reset",5,3.6595517609391677,18.29775880469584,20190713X34059
Loss of control on ground,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Standing-Engine(s) Shutdown; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"pre - existing crack in the weld, joint, construction of,","failure of the left main landing gear, st, left main","the, structural, damage, to the, fuselage, right, collapsed, right wing","right ailer, point, applied right rudder to, correct, walked around,",", remain, reduce, land to the, north, take off to,",5,3.0433925049309667,15.216962524654834,20111104X64432
Loss of engine power (partial),Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,failure to install a cotter retaining pin in the throttle,"excessive throttle, play, loss of engine, partial loss of, power,","power, control, maneuver, the airplane a hay, field, performed, forced,","takeoff, and, landings, simulated instrument, go -, around, mal, full",", take, positions, checked, nut, mixture control should be, leaned,",4,3.2373417721518987,12.949367088607595,20111201X54000
Loss of engine power (total),Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Standing-Engine(s) Shutdown; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"engine, an, turn, aerodynamic, prior to, impact, setting, pump operated","engine's loss of, power, during, airplane's engine, stall, dark, smoke,","sounds, engine, collided, be, failure would not, , power, und,","engine, restart, perform three touch - and - go takeoffs,",", be, overhauled, auxiliary fuel boost pump should be in",4,3.3166368515205726,13.26654740608229,20160425X01007
Loss of lift,Approach-VFR Pattern Downwind; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Pushback/Towing; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Other; Enroute-Cruise; Maneuvering-Low-alt flying; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"transmission could not be torn, down, exited and put his","mechanical failure of the, transmission, engine rpm increased un, lodged","performed, forced, landing, failure, engine to, overspeed, helicopter to lose,","continued airworthiness, inspection, was performed, transmission gearbox oil was, drained,",", take, planning, pilot, not have continued the, takeoff, taken,",3,3.232142857142857,9.696428571428571,20200410X12023
Loss of visual reference,Enroute; Landing; Maneuvering-Aerobatics; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Landing Roll; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Other; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Approach; Standing-Engine(s) Start-up,"pilot's, misjudgment of the landing, area, landed, runway, pilot had","airplane touching down on a, grass, off the, an airport,","struck, substantial, damage to the, strike, tree, strike another, to","in - flight weather, briefing, sierra, installed dry fertilizer, equipment,","for the runway, lights, to be, turned up, better, familiarization,",4,3.693877551020408,14.775510204081632,20161212X45215
Low altitude operations,After Landing; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Maneuvering-Low-alt flying; Post-Impact; Approach; Maneuvering-Hover; Landing-Landing Roll,"vent, in steep, not have a current medical, certificate, not","pilot's loss of glider, control, impairment or, glider, release, bank,","accident, glider, in a, ravine, wing, impacted an, embankment, sustained,","cardiac, pacemaker, implant, pacemaker was last, checked, toxicology, of prescription",", paid, height, wires, monitor the, depart, should, carefully, consider",4,3.4936708860759493,13.974683544303797,20210302102690
Mast bumping,Takeoff; Landing; Emergency Descent,"improper, maintenance, on the, blade pitch control, inability to locate","-, of, rotor, mast, main rotor (, ) mast, failed,","in, loss, main, blade pitch, control, bumping, failure, mr, mr","people, maintenance, the maintenance, rotary damper, re, installed the main",,2,4.0,8.0,20130921X71327
Midair collision,Enroute; Enroute-Descent; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"failure of both pilots to see and avoid the other,","midair, collision, airplanes, collided, collided nearly head -, on, main,","impacted the, terrain, a utility, pole, to, rest, an, immediate","wingtip -, - mounted strobe anticollision, lights, graphic, remote communications,","alter, course, pass well, not have passed over, under, ,",3,3.3968253968253967,10.19047619047619,20191205X95005
Miscellaneous/other,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; After Landing; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Standing-Engine(s) Start-up; Unknown; Enroute-Cruise; Approach-VFR Pattern Base; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Post-Impact; Approach; Approach-VFR Go-Around; Maneuvering-Hover; Landing-Landing Roll,"inadequate preflight inspection of the engine cowling, latch, completed a","cowling door opening in -, unusual, sound, loud, helicopter started","flight, striking the main rotor, blades, bang, substantial, damage, to","inspection, verified fuel control, settings, engine cowling doors be, visually","opened, cowlings, downs, door, , passengers, procedures, final position of",4,3.232,12.928,20110707X35545
Missing aircraft,Enroute-Cruise; Landing-Landing Roll; Unknown,"airplane and pilot are, s, not been, maintenance records were","missing, airplane was, from, radar, was not, medications, depression, ang,","impairment, incapacitation, suicide, determination impossible, missing, not, position of the","administration, alert, notice, (, alnot ), issued, sleep, search, obtained",,3,4.0,12.0,20130917X54848
Nav system malfunction/failure,Landing,"higher than expected, for, pilot does not control the flight","lateral, deviation, reaching, - fence, landing, short in, flight, aircraft","aircraft, the limits of the geo, landing, sustained, substantial, "",","contingency, management, ab, land now, cut power "", commands, flight,",,1,1.0,1.0,20190621X54419
Near midair collision,Initial Climb; Approach-IFR Final Approach; Enroute; Approach; Landing; Approach-VFR Pattern Base,"application of, inappropriate, separation, airborne civilian, aircraft, crew, ' s,","use of, loss of, separation, air traffic control operational, error,","near, lost, separation, with, conflict, limited, losses, departure, airplane to,","crew, as close, safety, the, air, control, traffic, followed merging","fly, as, permits, look, difficulties, , procedures, not, ensure, separation,",3,1.3333333333333333,4.0,20110330X05145
Nose over/nose down,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; After Landing; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Approach-VFR Go-Around; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Unknown; Maneuvering-Low-alt flying; Post-Impact; Approach; Maneuvering-Hover; Landing-Landing Roll,"inadequate compensation for the snow - covered, terrain, sending wire","nose -, over, oil pressure gauge indicated no oil, pressure,","airplane, over, disruption in the quality of, sleep, gear, became,","landing, plugged it in, verify, correct the, deviation, certified flight","used soft - field takeoff, techniques, , executed, go, around,",4,3.0759493670886076,12.30379746835443,20180111X60741
Off-field or emergency landing,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; Enroute; Enroute-Descent; Pushback/Tow-Engine Start-up; Taxi-to Runway; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Pushback/Tow-Engine Oper; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Unknown; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Pushback/Tow-Engine Not Oper; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"pilot ’ s, delay in using carburetor, heat, encounter with","loss of engine, engine lost, power, cycle of, losing, collided","power, losing, for, melt, restore, struck, 20, attempted, forced, landing,","restarted, carburetor, applied full carburetor, heat, a fuel, cap, installed",", pins, should, verify actual fuel, only usually be about",4,3.2117863720073663,12.847145488029465,20151013X20937
Other weather encounter,Approach-VFR Pattern Downwind; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; After Landing; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Post-Impact; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"pilot's, inability, maintain control, airplane, right, tire, pilot ’ s,","to, of the, failure of the right main, tire, tire","struck a runway, sign, main landing gear, collapsed, wing, right","check, rides, biennial flight, cool, down, offset the, turn, roll,","prepare, review, , waited, obtaining a, thorough preflight weather, briefing,",4,3.174107142857143,12.696428571428571,20170620X74202
Part(s) separation from AC,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Enroute; Enroute-Descent; Approach; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Post-Impact; Maneuvering-Hover; Landing-Landing Roll,"improper installation of the right, by, inboard and middle airframe","right aileron departed the, separated, from the aft, spa, aileron","airplane, air, out, ai, depart, bang, helicopter started to rotate,","maintenance, inspection of the ailer, functional, check, pre - flight,",", <, >, check, avoid continuous, operation, rpm, codes, should,",4,3.126126126126126,12.504504504504505,20120717X03630
Powerplant sys/comp malf/fail,Approach-VFR Pattern Downwind; Enroute; Landing; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Enroute-Cruise; Maneuvering-Low-alt flying; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"fatigue, cracks, inadequate quality inspection of the, cam, at the","total loss of engine, ’ s engine lost, power, would","power, pilot, declared an, emergency, deployed, airplane came to, rest","’, parachute, -, search of, engine power to, review, available","inspection of the oil, holes, burring, , return, idle, engage,",4,3.051546391752577,12.206185567010309,20110812X65034
Preflight or dispatch event,Initial Climb; Enroute-Cruise; Taxi-into Takeoff Position; Maneuvering-Low-alt flying; Uncontrolled Descent; Taxi-from Runway; Enroute-Holding (IFR); Landing-Flare/Touchdown; Enroute; Takeoff; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach; Approach-VFR Go-Around; Prior to Flight; Landing-Landing Roll; Landing; Maneuvering,"encounter, severe, pilot ’ s inadequate preflight, planning, pilot, be,","with, turbulence, in the, a test, flight, of the, mean,","in - flight, breakup, of the, airplane, debris, to depart,","- hour, overview, overhaul, replacement, both v -, belts, visual,","adjust the slack of the power transmission belt, system, verify",3,3.4655172413793105,10.396551724137932,20170927X75817
Pressure/environ sys malf/fail,Enroute; Enroute-Descent; Takeoff; Enroute-Climb to cruise; Landing-Landing Roll; Landing,"improper loading and securing of the cargo, pal, shifted, departure,","a, de, to an, out -, station, failed, overload, failure","no, injuries, substantial, damage to the aft pressure, bulkhead, from,","br, load, planner, take the, mechanic, to, the empty, secure","<, >, load, pallets, lock, all, pal, be placed in",3,2.2222222222222223,6.666666666666667,20160827X31134
Prop/jet/rotor blast/suction,Taxi-from Runway; Landing-Flare/Touchdown; Takeoff; Landing-Landing Roll; Landing,"pilot's, failure to avoid the jet, blast, ground air traffic","jet blast struck the, sideways, jet blast picked up, downhill","airplane, slid, the left, wing, right, struck the, ground, substantial,","refusing, practicing hilltop, landings, hike, golf, carts, disseminated procedures, conducting","exit, proceed, , careful to, consider the effects of their",3,3.2,9.600000000000001,20111005X34605
Roll over,Approach-VFR Pattern Downwind; Enroute; Landing; Standing-Engine(s) Shutdown; Takeoff; Prior to Flight; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Other; Approach-VFR Pattern Base; Standing-Engine(s) Start-up; Enroute-Cruise; Unknown; Maneuvering-Low-alt flying; Approach-VFR Go-Around; Landing-Landing Roll,"certified flight instructor ’ s, failure to maintain adequate main","hard landing and, blades, rpms did not, increase, throttle, to,","’, decay, helicopter, rolled onto its right, side, sustained, substantial,","certified flight instructor, cfi, straight - in, 180 - degree,",", book, maneuver, wires, avoid approaching, terrain, successful, been, inspected,",4,3.129032258064516,12.516129032258064,20120805X03423
Runway excursion,Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Maneuvering-Low-alt flying; Pushback/Tow-Engine Not Oper; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"conditions, without the anti - ice system, activated, in, flight,","inadvertent aerodynamic, stall, -, accumulation of airframe, ic, light rime,","airplane, impacted left, crossed, rise, to, rest, drift, came to",", right rudder, brake, pressure, caution, of, brakes, fixed base,","anti - ice systems should be turned, on, prior, brief,",4,3.0196671709531016,12.078668683812406,20111121X63408
Runway incursion animal,Enroute-Cruise; Approach-VFR Pattern Downwind; Pushback/Tow-Engine Oper; Uncontrolled Descent; Landing-Flare/Touchdown; Takeoff; Post-Impact; Approach-VFR Go-Around; Landing-Landing Roll; Landing; Taxi; Emergency Descent; Maneuvering,"deer, ’ s, a, that ran in front of the,","inadvertent collision with a, pilot flared the, airplane, loud, student","jolt, hard, landing, substantial, damage to the main landing, gear,","completed the landing, roll, airplane, back, taxi, taxi off the,",", constructing fencing "" fully around the airfield without, gaps,",3,2.9696969696969697,8.90909090909091,20120220X95359
Runway incursion veh/AC/person,Initial Climb; Enroute-Cruise; Taxi-from Runway; After Landing; Enroute; Takeoff; Takeoff-Rejected Takeoff; Post-Impact; Landing-Landing Roll; Landing; Taxi,"did not ensure that the runway was clear of, conflict,","runway, inc, of the, conflict, learjet passed within 287, all","stopped, drifted, striking, tree, 180, came to, rest, airplane, sustained,","pilot pulled back on the control yoke, taken responsibility, securing","<, >, yield right - of -, way, aircraft, ensure,",3,1.8888888888888888,5.666666666666666,20161026X21815
Security/criminal event,Uncontrolled Descent; Takeoff; Other; Landing-Landing Roll; Landing; Unknown,"pilot ’ s controlled flight into, terrain, low, cross -","sound of an, pass low over, engine sound went, silent,","airplane was not, recovered, fragmented parts of, airplane were, packages,","requested technical, assistance, control, the, fbi, operated, parked",,2,4.0,8.0,20161011X64047
Settling with power/vortex ring state,Maneuvering-Low-alt flying; Uncontrolled Descent; Enroute; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Approach; Prior to Flight; Landing-Landing Roll; Emergency Descent; Maneuvering,"pilot's, failure to maintain an adequate, airspeed, inadvertent encounter with","with, descent, above effective translational, 7 - to 10 -",", trees, subsequently, down, helicopter, settle, ground, severed the tail,","reconnaissance, shut it, climbing left, a level, attitude, precise altitude,",,3,3.2,9.600000000000001,20210622103312
Simulated/training event,Enroute-Cruise; Initial Climb; Landing-Flare/Touchdown; Takeoff; Maneuvering-Hover; Approach; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"certified flight instructor's, delayed remedial, action, practice, throttle, subsequent, failure","hard, student, engine, main rotor contacted the tail, mal, an,","landing, power, helicopter, landed, hard, boom, substantial, damage to the","’, rotor rpm was maintained, pilot initiated the, flare, cfi,",", discontinued, flaps and landing gear can also be used",3,3.2,9.600000000000001,20110224X84256
Stall warn/stick-shaker/pusher,Initial Climb; Takeoff; Landing; Approach,"pilot's, improper weight and balance, calculation, fuel, tanks, nose, narrow,","overweight, condition, airplane's inability to maintain, altitude, would not, loss","airplane, steady loss of, altitude, ran, aborted, takeoff, overrun, mush,","br, engine start, run - up, magneto, checked the position","<, >, ",3,2.75,8.25,20160913X92743
Sys/Comp malf/fail (non-power),Approach-IFR Final Approach; Enroute; Enroute-Descent; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-Circling (IFR); Approach; Approach-VFR Go-Around; Landing-Landing Roll,"airplane, canopy, unable, reach, canopy handle, open, canopy latch did","of the, downdraft, strong, downdra, canopy extended to the full","rapid, descent, hard, airplane, landed, horizontal stabilizer and left aileron","issued a mandatory service, bulletin, operational, procedures, securing, retracted, post",", have, go, get in the, locked, -, hinge, bolt",4,2.9844961240310077,11.937984496124031,20211005104051
Tailstrike,Enroute-Cruise; Uncontrolled Descent; Landing-Flare/Touchdown; Takeoff; Approach-VFR Pattern Final; Post-Impact; Landing-Landing Roll; Landing,"early rotation of the airplane to, angle at which the,","errone, er, automated, callout, inappropriate v1, value, automatic, v1, occur,","er, experienced, substantial, damage, to the lower, fuselage, damage to","br, preflight, preparation, runway, takeoff data, input, -, vr, vref,","<, >, loaded, , reduce the flap setting to 20,",3,2.9615384615384617,8.884615384615385,20170523X12020
Terrain avoidance alert,Maneuvering,"air traffic controller assigning an altitude below the published procedure,","expectation, pilot would not descend below the 10, 000, to,","risk, crew, stop, descent","traffic controller issued the pilots a clearance, cross the initial","use of, mv, maps, assignment of appropriate, altitudes, ensuring correct",1,1.0,1.0,20180102X34923
