,index,Lesson(s) Learned Level 1,Lesson(s) Learned Level 2,Driving Event Level 1,Driving Event Level 2,Recommendation(s) Level 1,Recommendation(s) Level 2,Lesson IDs for row,Number of lessons for row,,,,
494,346,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","rocket, engine, rocket engine, actual performance, propulsion system, propulsion, propellant, data, acceptance test, test","[1608, 1840]",2,,,,
497,1262,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","emergency, install, water, situation, manufacturer, fire, communication, suppression, shut, manufacturer recommendation","[249, 345]",2,,,,
498,615,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, bridge, bridge crane, drive motor, recommend technique, effective maintainability, technique number, overhead, maintainability, relay","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture","stainless steel, show, thermal vacuum test, thermal vacuum, much, preparation, lack, spacecraft, various, cable","[584, 1212]",2,,,,
509,398,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","signal, telemetry, short, generator, timing, cleaning, recognize, laboratory, speed, return","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","administration, national, national aeronautics, space administration, aeronautics, main parachute, force base, earth atmosphere, jettison, contain","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","subsystem, early possible, ability, test, generate, necessary, system, fully, noise, characterize","[1733, 5201, 25801]",3,,,,
516,832,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","risk management, individual, risk reduction, commitment, reduction, integrity, overall, additionally, tool, developed","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","preventative maintenance, accessible, contact, service, penetration, floor, vibration, adequate, panel, repair","[778, 888]",2,,,,
531,471,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","risk management, individual, risk reduction, commitment, reduction, integrity, overall, additionally, tool, developed","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[102, 212, 301, 484, 990, 1428]",6,,,,
537,84,"lose, data, sample, general, option, bond, housekeep, destructive, label, question","estimate, insight, compliance, degree, range, project, problem, simply, simple, enable","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vacuum chamber, fourier transform, focal plane, spectrometer, fourier, transform, resolve issue, focal, clean room, take account","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","defect, occurs, image, typically, reason, reach, root, often, variety, methodology","[9001, 10801]",2,,,,
544,337,"lose, data, sample, general, option, bond, housekeep, destructive, label, question","spacecraft instrument, screen, test demonstrate, developer, reduction, assess, margin, strength, environmental test, possibility","management, project, lack, formal, manager, organization, contractor, request, risk, development","caltech propulsion laboratory, caltech, caltech propulsion, science laboratory, document docid, problem failure report, docid, grail, integration test, rover","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","replace, inspect, block, contamination, hole, exist, completely, variety, fill, complete","[195, 1734]",2,,,,
562,353,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","degrade performance, properly, adequately address, satellite, timely manner, concern, storage, charge, address, handle","management, project, lack, formal, manager, organization, contractor, request, risk, development","cape canaveral, accurately reflect, cape, telephone, apollo, close call, establishment, extra, calculation, focus","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","preferably, trade, language, actively, volume, screen, trade study, group, success, estimate","[1835, 6636]",2,,,,
565,1238,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","degrade performance, properly, adequately address, satellite, timely manner, concern, storage, charge, address, handle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","permanently, handbook, content, tether, line management, specifically, attach, general, aware, handle","[418, 3259]",2,,,,
606,1233,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[272, 397]",2,,,,
614,718,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","follow recommendation, torque analog, base legacy, need great hinge, necessary torque include, great hinge, redesign accommodate, system redesign digital, redesign digital, flight pegasus","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[1054, 1056]",2,,,,
623,15,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","random vibration, random vibration test, sinusoidal, random, octave, dynamic, vibration reliability prefer, vibroacoustic, sine, predict","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","self, fully understand, article, configure, test article, input, unit, analyze, example, fully","[1733, 5201, 25801]",3,,,,
640,357,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","venus, scan platform, scan, mapping, solar panel, workarounds, eject, ejection, voyager, additional","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","eliminate, reexamine, provide sufficient, effort, motor, upgrade, static, safety, supplier, risk","[133, 1797]",2,,,,
657,658,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[1148, 1208]",2,,,,
669,186,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","crane, strap, second, lift, load, redesign, release, secure, stop, modify","spacecraft instrument, frequent, sample, contamination, witness, cleanliness, plate, objective, instrument, level","[418, 3259]",2,,,,
676,522,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","management, project, lack, formal, manager, organization, contractor, request, risk, development","variable size, nasda, adeos, undetected, data capture, processing system seawinds, system seawinds, intermittent nature, interval data, early nasda report","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[567, 1357]",2,,,,
684,1450,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","fiber optic, fiber, optic, fiber optic cable, transmission, launch countdown, receives, receiver, hardware software, input signal","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","change, deviation, installation, document, write, procedure, work authorization, pressurize, caution, temporary","[76, 6416]",2,,,,
693,1635,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability","flexible, encourage, produce, orbit, adopt, lack, contribute, mitigate, single, future","[380, 923]",2,,,,
696,1554,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","negotiate, altitude, incentive, strain relief, action item, successfully demonstrate, spacecraft integration test, pending, mail, platinum","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[5, 4057]",2,,,,
720,1275,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","scout, dallas, scout program, visual, visual examination, socket, examination, radial, connector, broken","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","eliminate, reexamine, provide sufficient, effort, motor, upgrade, static, safety, supplier, risk","[313, 410]",2,,,,
725,1499,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","attributable, propagate, caltech, redact, itar, touchdown, terrain, regulation, traffic, copy","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[153, 321, 344]",3,,,,
741,205,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","electrical power, approval process, ensure proper, packaging, critical item, packaging design, instead, generate, quality assurance, assurance","[5, 4057]",2,,,,
752,207,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[4016, 4058]",2,,,,
769,239,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","ventilation, fire department, alarm, perform task, general purpose, scene, technician perform task, extinguisher, fire alarm, contribute","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[569, 4417, 5456]",3,,,,
774,1317,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","failure mode, space shuttle, long term, result excessive, future mission, high temperature, acceptance test, shuttle orbiter, electrical connector, electrical short","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","ventilation, fire department, alarm, perform task, general purpose, scene, technician perform task, extinguisher, fire alarm, contribute","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[102, 212, 301, 484, 990, 1428]",6,,,,
777,417,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","increase risk, exist, installation, agreement, identical, front, need clearly, safeguard, expenditure, budget","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","international metal, control international metal, american, nondestructive test, american society, society, inclusion, mcbride, bray mcbride, nondestructive","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[1391, 1709]",2,,,,
783,262,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","increase risk, exist, installation, agreement, identical, front, need clearly, safeguard, expenditure, budget","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","data exchange, government industry, gidep, program gidep, exchange, government, industry, coordinate, advisory, twenty","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","soon possible, conduct thorough, possible, space shuttle, space shuttle program, soon, work group, term, long term, long","[137, 4236]",2,,,,
792,675,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","make sure, personnel injury, hazardous operation, design concept, recommendation, orbit operation, occurrence, energy, link, steady","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[69, 1098]",2,,,,
793,551,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","make sure, personnel injury, hazardous operation, design concept, recommendation, orbit operation, occurrence, energy, link, steady","management, project, lack, formal, manager, organization, contractor, request, risk, development","pyrovalve, combustion, initiator, pyrotechnic, aluminum, fire, pyro, pyroshock, pyrotechnic shock, pyrotechnic device","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[1316, 1387]",2,,,,
798,209,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","make sure, personnel injury, hazardous operation, design concept, recommendation, orbit operation, occurrence, energy, link, steady","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","injury, foot, approximately, crane, platform, side, technician, lift, floor, employee","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","replace, inspect, block, contamination, hole, exist, completely, variety, fill, complete","[767, 1049, 5876]",3,,,,
801,1213,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","make sure, personnel injury, hazardous operation, design concept, recommendation, orbit operation, occurrence, energy, link, steady","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","scout, dallas, scout program, visual, visual examination, socket, examination, radial, connector, broken","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","original, employ, modify, force, replace, continue, application, equipment, memory, vulnerability","[45, 447]",2,,,,
837,1090,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","produce, electronics, couple, charge, encounter, similar, effective, board, electrical, early","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","relevant historical, relevant, historical, solder, print, solder joint, print wiring, conformal, conformal coat, viking","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[592, 18502]",2,,,,
856,984,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","monte carlo, probability failure, probabilistic, experimental, deterministic, stochastic, standard deviation, fracture mechanic, carlo, durability","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","vent, pressure, leak check, monitor, integrity, back, provide, design, interface, concentration","[706, 721]",2,,,,
863,943,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","residue, cleanliness, particulate, molecule, contamination control, volatile, contaminates, molecular, cleaning process, performance degradation","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[767, 1049, 5876]",3,,,,
873,741,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum","[193, 1012]",2,,,,
878,854,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","effective maintainability, technique number, base maintainability, recommend technique, maintainability, availability, technical memorandum, downtime, life cycle cost, recommend","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum","[645, 855]",2,,,,
881,1190,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","space, shuttle, logistics, space shuttle, repair, catastrophic failure, rate, whole, term, increase","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","injury, foot, approximately, crane, platform, side, technician, lift, floor, employee","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[471, 699]",2,,,,
903,43,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","visual inspection, lift, lift fixture, section, fixture, visual, crane, inspection, develop, ground support","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[64, 19601]",2,,,,
928,826,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively","accuracy, piece part, special, fabrication, present, limit, close, desire, noise, corrective","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","matrix, vulnerability, correction, fault, potential, lose, prime, reexamine, take step, assignment","[899, 1198]",2,,,,
934,46,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively","damage, stress, force, joint, board, create, sufficient, material, solder, crack","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","preventative maintenance, accessible, contact, service, penetration, floor, vibration, adequate, panel, repair","[592, 18502]",2,,,,
958,925,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively","science data, spaceflight, mission, loss mission, compromise, science, result, performance, resource, likely","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","residue, cleanliness, particulate, molecule, contamination control, volatile, contaminates, molecular, cleaning process, performance degradation","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","whenever possible, hazardous operation, much, look, replacement, whenever, success, subject, well, balance","[778, 888]",2,,,,
976,87,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively","science data, spaceflight, mission, loss mission, compromise, science, result, performance, resource, likely","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","commercial, logic, usage, behavior, assumption, reporting, actual, less, developed, action","[188, 10701]",2,,,,
977,312,"manual, automate, reliable, weight, great, product, result incomplete, optimum, frame, effectively","science data, spaceflight, mission, loss mission, compromise, science, result, performance, resource, likely","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","whenever possible, hazardous operation, much, look, replacement, whenever, success, subject, well, balance","[1483, 2156]",2,,,,
1020,611,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","human error, time consume, entry, land, future, advantage, print, gain, operating condition, concept","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","future program, long term, hypergolic propellant, evaluate effect, eliminate need, improve reliability, short term, software development, electronic part, reduce risk","[1148, 1208]",2,,,,
1022,727,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","human error, time consume, entry, land, future, advantage, print, gain, operating condition, concept","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","special, special attention, attention, possibility, path, raise, optical, permit, particularly, change","[767, 1049, 5876]",3,,,,
1038,859,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","human error, time consume, entry, land, future, advantage, print, gain, operating condition, concept","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","effective maintainability, technique number, base maintainability, recommend technique, maintainability, availability, technical memorandum, downtime, life cycle cost, recommend","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[141, 846]",2,,,,
1061,491,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","independent review, procedure, follow, lockout, expertise, likely, risk assessment, right, policy, guideline","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","extravehicular mobility, extravehicular mobility unit, mishap investigation, thin wall, thin, wall, steam line, catastrophic failure, steam, exhaust","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[1391, 1709]",2,,,,
1067,90,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","minor, pose, expect, sample, unnecessary, formal, acceptable, particularly, increase, mechanism","management, project, lack, formal, manager, organization, contractor, request, risk, development","caltech propulsion laboratory, caltech, caltech propulsion, science laboratory, document docid, problem failure report, docid, grail, integration test, rover","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[9001, 10801]",2,,,,
1075,780,"maximum, engine, operating, space shuttle, surface, change, longer, space shuttle program, main engine, ssme","minor, pose, expect, sample, unnecessary, formal, acceptable, particularly, increase, mechanism","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","rocket motor, challenger, case nozzle, review joint solid, challenger space shuttle, trigger detailed, joint catastrophic, challenger space, encounter challenger, rocket motor analysis","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[956, 958, 967]",3,,,,
1108,1297,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","long term, term, plan, ship, long, produce, large, issue, qualify, material","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","electrolyte, capacity, nickel, cell, zinc, nickel hydrogen, nickel cadmium, lead acid, battery, cadmium","crane, strap, second, lift, load, redesign, release, secure, stop, modify","relief valve, human factor, wind tunnel, hazard, personal protective equipment, personal protective, relief, train personnel, rate, human","[249, 345]",2,,,,
1113,618,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","long term, term, plan, ship, long, produce, large, issue, qualify, material","management, project, lack, formal, manager, organization, contractor, request, risk, development","caltech propulsion laboratory, caltech, caltech propulsion, science laboratory, document docid, problem failure report, docid, grail, integration test, rover","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","electrical power, approval process, ensure proper, packaging, critical item, packaging design, instead, generate, quality assurance, assurance","[1019, 1211]",2,,,,
